hs2	15561187	15561334	NBAS_1
hs2	15558579	15558634	NBAS_2
hs2	15556782	15556819	NBAS_3
hs2	15554060	15554138	NBAS_4
hs2	15553425	15553473	NBAS_5
hs2	15551492	15551536	NBAS_6
hs2	15539222	15539356	NBAS_7
hs2	15536417	15536551	NBAS_8
hs2	15534542	15534641	NBAS_9
hs2	15511211	15511350	NBAS_10
hs2	15504144	15504213	NBAS_11
hs2	15488893	15489022	NBAS_12
hs2	15478225	15478289	NBAS_13
hs2	15475686	15475880	NBAS_14
hs2	15474066	15474324	NBAS_15
hs2	15473221	15473347	NBAS_16
hs2	15468381	15468533	NBAS_17
hs2	15467663	15467804	NBAS_18
hs2	15467328	15467407	NBAS_19
hs2	15461686	15461791	NBAS_20
hs2	15461200	15461337	NBAS_21
hs2	15427710	15427794	NBAS_22
hs2	15424314	15424468	NBAS_23
hs2	15417526	15417712	NBAS_24
hs2	15415545	15415719	NBAS_25
hs2	15402167	15402301	NBAS_26
hs2	15396412	15396475	NBAS_27
hs2	15394226	15394349	NBAS_28
hs2	15383214	15383317	NBAS_29
hs2	15379601	15379831	NBAS_30
hs2	15374607	15374720	NBAS_31
hs2	15366579	15366693	NBAS_32
hs2	15356302	15356416	NBAS_33
hs2	15353552	15353710	NBAS_34
hs2	15351991	15352081	NBAS_35
hs2	15330597	15330765	NBAS_36
hs2	15328198	15328312	NBAS_37
hs2	15327749	15327870	NBAS_38
hs2	15309170	15309247	NBAS_39
hs2	15308215	15308353	NBAS_40
hs2	15292536	15292766	NBAS_41
hs2	15287072	15287183	NBAS_42
hs2	15276850	15277101	NBAS_43
hs2	15275483	15275818	NBAS_44
hs2	15238467	15238686	NBAS_45
hs2	15234544	15234747	NBAS_46
hs2	15232421	15232511	NBAS_47
hs2	15218772	15218968	NBAS_48
hs2	15190263	15190403	NBAS_49
hs2	15186741	15186880	NBAS_50
hs2	15178987	15179116	NBAS_51
hs2	15166915	15167323	NBAS_52
hs2	15591177	15591286	DDX1_1
hs2	15591653	15591949	DDX1_2
hs2	15595144	15595196	DDX1_3
hs2	15595489	15595553	DDX1_4
hs2	15596733	15596763	DDX1_5
hs2	15597374	15597471	DDX1_6
hs2	15599668	15599716	DDX1_7
hs2	15602547	15602631	DDX1_8
hs2	15603191	15603275	DDX1_9
hs2	15603813	15603890	DDX1_10
hs2	15604436	15604509	DDX1_11
hs2	15605949	15606026	DDX1_12
hs2	15606149	15606264	DDX1_13
hs2	15607174	15607313	DDX1_14
hs2	15613223	15613284	DDX1_15
hs2	15617243	15617342	DDX1_16
hs2	15618180	15618270	DDX1_17
hs2	15620207	15620396	DDX1_18
hs2	15621064	15621116	DDX1_19
hs2	15623435	15623582	DDX1_20
hs2	15627053	15627145	DDX1_21
hs2	15628444	15628517	DDX1_22
