1	196225778	196609225	KCNT2
1	197084126	197146694	ASPM
1	197268203	197478455	CRB1
1	197911901	197935478	LHX9
3	200027613	200177420	NR5A2
3	200551496	200620751	KIF14
3	200739557	200860704	CAMSAP2
3	201896455	201946588	LMOD1
3	202007944	202017183	ELF3
3	202133403	202144743	ARL8A
3	202724494	202808487	KDM5B
3	203795653	203854999	ZC3H11A
3	203861598	203871152	SNRPE
3	204073114	204127743	SOX13
3	204516378	204558120	MDM4
3	204828650	205022822	NFASC
3	205042936	205078289	CNTN2
3	205086141	205122015	RBBP5
3	205142504	205207358	DSTYK
