2	56810375	56810448	OTX2_1
2	56810158	56810222	OTX2_2
2	56805359	56805575	OTX2_3
2	56804187	56804339	OTX2_4
2	56799904	56802355	OTX2_5
2	56805359	56805667	OTX2_1
2	56804187	56804339	OTX2_2
2	56800706	56802355	OTX2_3
2	56810375	56810479	OTX2_1
2	56810158	56810222	OTX2_2
2	56805359	56805575	OTX2_3
2	56804187	56804363	OTX2_4
2	56800706	56802355	OTX2_5
2	56810158	56810386	OTX2_1
2	56805359	56805575	OTX2_2
2	56804187	56804339	OTX2_3
2	56802244	56802355	OTX2_4
2	56800738	56801881	OTX2_5
2	56810158	56810389	OTX2_1
2	56805359	56805575	OTX2_2
2	56804187	56804363	OTX2_3
2	56800738	56802355	OTX2_4
2	56816586	56816693	OTX2_1
2	56810158	56810222	OTX2_2
2	56805359	56805575	OTX2_3
2	56804187	56804339	OTX2_4
2	56800740	56802355	OTX2_5
2	56810158	56810448	OTX2_1
2	56805359	56805575	OTX2_2
2	56804187	56804339	OTX2_3
2	56801734	56802355	OTX2_4
2	56805359	56805648	OTX2_1
2	56801809	56802355	OTX2_2
2	56810375	56810479	OTX2_1
2	56810158	56810222	OTX2_2
2	56805359	56805575	OTX2_3
2	56802024	56802355	OTX2_4
2	56813182	56813469	OTX2-AS1_1
2	56897539	56897648	OTX2-AS1_2
2	56898267	56898345	OTX2-AS1_3
2	56928879	56930833	OTX2-AS1_4
7	127969415	127969537	PVT1_4
7	127989161	127989291	PVT1_5
7	127996560	127996670	PVT1_6
7	127989161	127989291	PVT1_4
7	127989161	127989291	PVT1_4
7	128009589	128009718	PVT1_5
7	128010317	128010444	PVT1_6
7	127989161	127989291	PVT1_5
7	127989161	127989291	PVT1_5
7	127996560	127996598	PVT1_6
7	127998199	127998359	PVT1_7
7	128009589	128009718	PVT1_8
7	128010317	128010444	PVT1_9
7	127989161	127989291	PVT1_3
7	127989161	127989291	PVT1_7
7	127994882	127995093	PVT1_8
7	127996560	127996598	PVT1_9
7	127998199	127998359	PVT1_10
7	128009589	128009718	PVT1_11
7	128010317	128010444	PVT1_12
7	127989161	127989291	PVT1_4
7	127996560	127996681	PVT1_5
7	127983903	127984204	PVT1_4
7	127989161	127989291	PVT1_5
7	127989161	127990365	PVT1_4
7	127989161	127989291	PVT1_4
7	127989161	127989291	PVT1_5
7	127983903	127984204	PVT1_5
7	127989161	127989291	PVT1_6
7	128009589	128009718	PVT1_7
7	128010317	128010444	PVT1_8
7	127989161	127989291	PVT1_4
7	127996560	127996598	PVT1_5
7	127998199	127998359	PVT1_6
7	127983903	127984204	PVT1_3
7	127989161	127989291	PVT1_4
7	127984003	127984204	PVT1_1
7	127989161	127989291	PVT1_2
7	128009589	128009718	PVT1_3
7	128010317	128010444	PVT1_4
7	127997044	127998359	PVT1_1
7	127998911	127999334	PVT1_2
9	128561069	128561126	LINC00824_1
9	128561069	128561126	LINC00824_1
9	128560239	128560548	LINC00824_2
9	128559022	128559576	LINC00824_3
9	128634198	128651388	CCDC26_4
3	127339280	127339435	PCAT1_6
3	127398892	127399211	PCAT1_7
3	127301358	127301470	PCAT1_2
3	127311519	127311716	PCAT1_3
3	127322072	127322226	PCAT1_4
3	127339280	127339435	PCAT1_5
3	127322203	127322226	PCAT1_1
3	127339280	127340717	PCAT1_2
3	127322204	127322226	PCAT1_1
3	127339280	127339435	PCAT1_2
3	127398892	127399018	PCAT1_3
3	127403579	127403804	PCAT1_4
3	127404297	127404409	PCAT1_5
3	127408752	127409031	PCAT1_6
3	127414887	127415022	PCAT1_7
3	127415442	127415672	PCAT1_8
3	127418772	127419050	PCAT1_9
3	127420828	127421374	CASC8_1
3	127323014	127323154	CASC8_2
3	127420828	127420963	CASC8_5
3	127322182	127322226	POU5F1B_1
3	127339280	127339435	POU5F1B_2
3	127414887	127415022	POU5F1B_3
3	127415442	127417210	POU5F1B_4
3	127409025	127409031	POU5F1B_1
3	127414887	127415022	POU5F1B_2
3	127415442	127420066	POU5F1B_3
3	127400398	127402150	CCAT2_1
6	127890588	127890998	PVT1_2
6	127939507	127939676	PVT1_3
6	127969415	127969537	PVT1_4
6	127989161	127989291	PVT1_5
6	127996560	127996670	PVT1_6
6	127890588	127890998	PVT1_3
6	127939507	127939676	PVT1_4
6	127942418	127943442	PVT1_5
6	127890588	127890998	PVT1_3
6	127989161	127989291	PVT1_4
6	128070159	128070361	PVT1_5
6	128096517	128096654	PVT1_6
6	128147861	128147988	PVT1_7
6	128152676	128152817	PVT1_8
6	128155166	128155419	PVT1_9
6	128160755	128160881	PVT1_10
6	128186555	128187101	PVT1_11
6	127890588	127890998	PVT1_5
6	127932464	127932696	PVT1_6
6	127890588	127890998	PVT1_2
6	127939507	127939676	PVT1_3
6	127989161	127989291	PVT1_4
6	128009589	128009718	PVT1_5
6	128010317	128010444	PVT1_6
6	128082752	128083335	PVT1_7
6	127890588	127890998	PVT1_3
6	127939507	127939676	PVT1_4
6	127989161	127989291	PVT1_5
6	128096517	128096654	PVT1_6
6	128099369	128099887	PVT1_7
6	127890588	127890998	PVT1_3
6	127939507	127939676	PVT1_4
6	127989161	127989291	PVT1_5
6	127996560	127996598	PVT1_6
6	127998199	127998359	PVT1_7
6	128009589	128009718	PVT1_8
6	128010317	128010444	PVT1_9
6	128096517	128096654	PVT1_10
6	128100979	128101254	PVT1_11
6	127890588	127890998	PVT1_2
6	127989161	127989291	PVT1_3
6	128038916	128038980	PVT1_4
6	128070159	128071539	PVT1_5
6	127890588	127890998	PVT1_4
6	127932464	127932474	PVT1_5
6	127939507	127939676	PVT1_6
6	127989161	127989291	PVT1_7
6	127994882	127995093	PVT1_8
6	127996560	127996598	PVT1_9
6	127998199	127998359	PVT1_10
6	128009589	128009718	PVT1_11
6	128010317	128010444	PVT1_12
6	128016634	128017217	PVT1_13
