5	1201709	1201967	SLC6A19_1	
5	1208860	1209001	SLC6A19_2	
5	1210650	1210696	SLC6A19_3	
5	1212417	1212599	SLC6A19_4	
5	1213577	1213688	SLC6A19_5	
5	1214067	1214180	SLC6A19_6	
5	1216672	1217060	SLC6A19_7	
5	1219017	1219222	SLC6A19_8	
5	1219619	1219779	SLC6A19_9	
5	1221265	1221428	SLC6A19_10	
5	1221815	1223385	SLC6A19_11	
5	1201709	1201967	SLC6A19_1	
5	1208860	1209001	SLC6A19_2	
5	1210558	1210696	SLC6A19_3	
5	1212417	1212599	SLC6A19_4	
5	1213577	1213688	SLC6A19_5	
5	1214067	1214180	SLC6A19_6	
5	1216672	1216801	SLC6A19_7	
5	1216903	1217060	SLC6A19_8	
5	1219017	1219222	SLC6A19_9	
5	1219619	1219779	SLC6A19_10	
5	1221265	1221428	SLC6A19_11	
5	1221815	1225226	SLC6A19_12	
5	1225495	1225752	SLC6A18_1	
5	1232333	1232474	SLC6A18_2	
5	1232865	1233003	SLC6A18_3	
5	1235595	1235777	SLC6A18_4	
5	1238064	1238175	SLC6A18_5	
5	1239564	1239677	SLC6A18_6	
5	1240645	1240774	SLC6A18_7	
5	1242821	1242978	SLC6A18_8	
5	1243669	1243874	SLC6A18_9	
5	1244328	1244488	SLC6A18_10	
5	1244722	1244882	SLC6A18_11	
5	1245962	1246304	SLC6A18_12	
5	1225523	1225752	SLC6A18_1	
5	1232333	1232474	SLC6A18_2	
5	1232865	1232954	SLC6A18_3	
5	1253261	1253946	TERT_1	
5	1254482	1254620	TERT_2	
5	1255401	1255526	TERT_3	
5	1258712	1258774	TERT_4	
5	1260588	1260715	TERT_5	
5	1266578	1266650	TERT_6	
5	1268634	1268748	TERT_7	
5	1278755	1278911	TERT_8	
5	1279405	1279585	TERT_9	
5	1280272	1280453	TERT_10	
5	1282543	1283125	TERT_11	
5	1253281	1253946	TERT_1	
5	1254482	1254620	TERT_2	
5	1255401	1255526	TERT_3	
5	1258712	1258774	TERT_4	
5	1260588	1260715	TERT_5	
5	1264518	1264707	TERT_6	
5	1266578	1266650	TERT_7	
5	1268634	1268748	TERT_8	
5	1271233	1271319	TERT_9	
5	1272299	1272395	TERT_10	
5	1278755	1278911	TERT_11	
5	1279405	1279585	TERT_12	
5	1280272	1280453	TERT_13	
5	1282543	1282739	TERT_14	
5	1286279	1287201	TERT_15	
5	1293078	1294781	TERT_16	
5	1294885	1295162	TERT_17	
5	1253281	1253946	TERT_1	
5	1254482	1254620	TERT_2	
5	1255401	1255526	TERT_3	
5	1258712	1258774	TERT_4	
5	1260588	1260715	TERT_5	
5	1264518	1264707	TERT_6	
5	1266578	1266650	TERT_7	
5	1268634	1268748	TERT_8	
5	1271233	1271319	TERT_9	
5	1272299	1272395	TERT_10	
5	1278755	1278911	TERT_11	
5	1279405	1279585	TERT_12	
5	1280272	1280453	TERT_13	
5	1282543	1282739	TERT_14	
5	1293427	1294781	TERT_15	
5	1294885	1295183	TERT_16	
5	1253842	1253946	TERT_1	
5	1254482	1254620	TERT_2	
5	1255401	1255526	TERT_3	
5	1258712	1258774	TERT_4	
5	1260588	1260715	TERT_5	
5	1266578	1266650	TERT_6	
5	1268634	1268748	TERT_7	
5	1278755	1278875	TERT_8	
5	1279405	1279585	TERT_9	
5	1280272	1280453	TERT_10	
5	1282543	1282739	TERT_11	
5	1293427	1294781	TERT_12	
5	1294885	1295104	TERT_13	
5	1253842	1253946	TERT_1	
5	1254482	1254620	TERT_2	
5	1255401	1255526	TERT_3	
5	1258712	1258774	TERT_4	
5	1260588	1260715	TERT_5	
5	1266578	1266650	TERT_6	
5	1268634	1268748	TERT_7	
